
2024/07/24 (00:10:44) | ===> btop++ v.1.3.0
2024/07/24 (00:10:44) | INFO: Logger set to INFO
2024/07/24 (00:10:46) | INFO: Logger set to INFO
2024/07/24 (00:15:28) | INFO: Quitting! Runtime: 00:07:12

2024/07/24 (00:27:04) | ===> btop++ v.1.3.0
2024/07/24 (00:27:04) | INFO: Logger set to INFO
2024/07/24 (00:27:04) | INFO: Running on /dev/pts/2
2024/07/24 (00:27:05) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/24 (00:37:03) | ===> btop++ v.1.3.0
2024/07/24 (00:37:03) | INFO: Logger set to INFO
2024/07/24 (00:37:03) | INFO: Running on /dev/pts/4
2024/07/24 (00:37:04) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/24 (01:15:30) | ===> btop++ v.1.3.0
2024/07/24 (01:15:30) | INFO: Logger set to INFO
2024/07/24 (01:15:30) | INFO: Running on /dev/pts/2
2024/07/24 (01:15:31) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/07/24 (01:17:11) | ERROR: Exception during Config::unlock() : unordered_map::at
2024/07/24 (01:17:11) | INFO: Quitting! Runtime: 00:01:41

2024/07/24 (01:17:23) | ===> btop++ v.1.3.0
2024/07/24 (01:17:23) | INFO: Logger set to INFO
2024/07/24 (01:17:23) | INFO: Running on /dev/pts/2
2024/07/24 (01:17:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/24 (01:51:07) | ===> btop++ v.1.3.0
2024/07/24 (01:51:07) | INFO: Logger set to INFO
2024/07/24 (01:51:07) | INFO: Running on /dev/pts/3
2024/07/24 (01:51:08) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/24 (01:51:11) | ===> btop++ v.1.3.0
2024/07/24 (01:51:11) | INFO: Logger set to INFO
2024/07/24 (01:51:11) | INFO: Running on /dev/pts/4
2024/07/24 (01:51:12) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/07/24 (01:51:22) | INFO: Quitting! Runtime: 00:33:59

2024/07/24 (01:51:28) | ===> btop++ v.1.3.0
2024/07/24 (01:51:28) | INFO: Logger set to INFO
2024/07/24 (01:51:28) | INFO: Running on /dev/pts/2
2024/07/24 (01:51:29) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/07/24 (01:51:37) | INFO: Quitting! Runtime: 00:00:09

2024/07/24 (01:51:40) | ===> btop++ v.1.3.0
2024/07/24 (01:51:40) | INFO: Logger set to INFO
2024/07/24 (01:51:40) | INFO: Running on /dev/pts/2
2024/07/24 (01:51:41) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/24 (01:59:04) | ===> btop++ v.1.3.0
2024/07/24 (01:59:04) | INFO: Logger set to INFO
2024/07/24 (01:59:04) | INFO: Running on /dev/pts/3
2024/07/24 (01:59:05) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/07/24 (01:59:26) | INFO: Quitting! Runtime: 00:00:22

2024/07/24 (01:59:31) | ===> btop++ v.1.3.0
2024/07/24 (01:59:31) | INFO: Logger set to INFO
2024/07/24 (01:59:31) | INFO: Running on /dev/pts/3
